chapterNo,postNo,text,amount
1,1,"Apanasje ",10453000
2,1,"Apanasje ",8700000
20,1,"Driftsutgifter ",95600000
21,1,"Driftsutgifter ",151300000
24,1,"Driftsutgifter ",61500000
41,1,"Driftsutgifter ",862000000
42,1,"Driftsutgifter ",6800000
43,1,"Driftsutgifter ",63300000
44,1,"Driftsutgifter ",10400000
51,1,"Driftsutgifter ",476400000
61,1,"Driftsutgifter ",93158000
100,1,"Driftsutgifter ",1822566000
103,1,"Driftsutgifter ",47524000
104,1,"Driftsutgifter ",9179000
115,1,"Driftsutgifter, kan nyttes under post 70",27954000
118,1,"Driftsutgifter, kan nyttes under post 70",30841000
119,1,"Driftsutgifter, kan nyttes under post 70",2000000
140,1,"Driftsutgifter ",1257596000
141,1,"Driftsutgifter ",233550000
144,1,"Driftsutgifter ",44950000
160,1,"Driftsutgifter ",33500000
165,1,"Driftsutgifter ",138000000
166,1,"Driftsutgifter ",71900000
200,1,"Driftsutgifter ",253967000
220,1,"Driftsutgifter ",258822000
221,1,"Driftsutgifter ",14548000
222,1,"Driftsutgifter ",89474000
224,1,"Driftsutgifter ",58798000
225,1,"Driftsutgifter ",21382000
229,1,"Driftsutgifter ",22778000
230,1,"Driftsutgifter ",623407000
256,1,"Driftsutgifter ",51132000
258,1,"Driftsutgifter ",5488000
280,1,"Driftsutgifter ",75646000
281,1,"Driftsutgifter, kan nyttes under post 70",112116000
284,1,"Driftsutgifter ",17236000
300,1,"Driftsutgifter ",119691000
320,1,"Driftsutgifter, kan nyttes under post 77",135195000
321,1,"Driftsutgifter ",15551000
322,1,"Driftsutgifter ",17053000
323,1,"Driftsutgifter ",165898000
324,1,"Driftsutgifter ",75127000
326,1,"Driftsutgifter, kan nyttes under post 77",532785000
329,1,"Driftsutgifter ",329845000
334,1,"Driftsutgifter ",153721000
339,1,"Driftsutgifter ",66436000
400,1,"Driftsutgifter ",354204000
410,1,"Driftsutgifter ",1778565000
411,1,"Driftsutgifter, kan nyttes under kap. 410 post 1",73946000
413,1,"Driftsutgifter ",217069000
414,1,"Driftsutgifter ",164605000
430,1,"Driftsutgifter ",3662332000
432,1,"Driftsutgifter ",171386000
