chapterNo,postNo,text,amount
3021,1,Leieinntekter ,300 000
3024,1,Erstatning for utgifter i rettssaker ,13 900 000
3041,1,Salgsinntekter ,7 600 000
3051,1,Refusjon innland ,1 800 000
3100,1,Diverse gebyrer ved utenriksstasjonene ,15 420 000
3220,1,Inntekter ved oppdrag ,3 845 000
3224,1,Inntekter fra oppdrag mv. ,1 553 000
3230,1,Inntekter ved oppdrag ,58 410 000
3256,1,Inntekter ved oppdrag ,10 698 000
3280,1,Eksterne inntekter NOKUT ,10 000
3300,1,Ymse inntekter ,75 000
3320,1,Ymse inntekter ,1 466 000
3322,1,Ymse inntekter ,117 000
3323,1,Ymse inntekter ,31 367 000
3324,1,Ymse inntekter ,500 000
3326,1,Ymse inntekter ,8 932 000
3329,1,Ymse inntekter ,5 889 000
3334,1,Ymse inntekter ,10 470 000
3339,1,Spilleoverskudd fra Norsk Tipping AS ,371 850 000
3400,1,Diverse inntekter ,2 496 000
3410,1,Rettsgebyr ,191 039 000
3413,1,Saks- og gebyrinntekter ,15 181 000
3440,1,Gebyr - pass og våpen ,261 600 000
3451,1,Gebyr ,134 660 000
3454,1,Refusjoner ,23 197 000
3456,1,Brukerbetaling ,142 896 000
3469,1,"Vergemåls-/representantordning, ODA-godkjente utgifter ",8 901 000
3470,1,Tilkjente saksomkostninger m.m. ,3 571 000
3473,1,Diverse inntekter ,5 000
3490,1,"Retur av asylsøkere med avslag og tilbakevending for flyktninger, ODA-godkjente utgifter ",126 654 000
3585,1,Gebyrer ,900 000
3605,1,Administrasjonsvederlag ,22 110 000
3614,1,"Gebyrinntekter, lån ",61 000 000
3615,1,Premieinntekter ,154 000 000
3616,1,Premieinntekter ,97 000 000
3635,1,Refusjon statlig virksomhet mv. ,34 050 000
3640,1,Diverse inntekter ,1 240 000
3821,1,"Integreringstilskudd for overføringsflyktninger, ODA-godkjente utgifter ",181 425 000
3822,1,"Norskopplæring i mottak, ODA-godkjente utgifter ",112 288 000
3842,1,Diverse inntekter ,637 000
3855,1,Diverse inntekter ,13 873 000
3858,1,Diverse inntekter ,433 000
3859,1,Tilskudd fra Europakommisjonen ,2 300 000
3902,1,Gebyrinntekter ,70 800 000
3903,1,Gebyrinntekter og andre inntekter ,33 000 000
3904,1,Gebyrinntekter ,500 000 000
3905,1,Oppdragsinntekter ,27 000 000
3906,1,Leie av bergrettigheter og eiendommer ,100 000
3910,1,Gebyrer for skip og flyttbare innretninger i NOR ,153 000 000
3914,1,Gebyrer ,500 000
4000,1,Refusjoner ,10 000
4021,1,Oppdragsinntekter ,76 750 000
4022,1,Oppdragsinntekter ,86 650 000
4030,1,Refusjoner og diverse inntekter ,109 000
4100,1,Refusjoner m.m. ,110 000
4115,1,Gebyr m.m. ,109 993 000
4143,1,Driftsinntekter m.m. ,38 625 000
4147,1,Refusjoner m.m. ,39 000
4300,1,Refusjon fra Utenriksdepartementet ,2 400 000
4313,1,Gebyrinntekter ,138 800 000
4320,1,Salgsinntekter m.m. ,172 400 000
4350,1,Kjørevegsavgift ,33 800 000
4354,1,Gebyrer for tilsyn med tau- og kabelbaner og tivoli og fornøyelsesparker ,13 000 000
4380,1,Diverse gebyrer ,152 700 000
4420,1,Oppdrag og andre diverse inntekter ,1 363 000
4465,1,"Gebyrinntekter tinglysing, borettslag ",57 900 000
4471,1,Salgs- og utleieinntekter ,10 038 000
4510,1,Inntekter ved oppdrag ,175 881 000
4581,1,Ymse inntekter ,153 000
4605,1,Økonomitjenester ,45 900 000
4610,1,Særskilt vederlag for tolltjenester ,6 200 000
4618,1,Refunderte utleggs- og tinglysingsgebyr ,82 000 000
4620,1,Salgsinntekter ,300 000
4638,1,Salgsinntekter ,539 600 000
4700,1,Driftsinntekter ,2 246 000
4710,1,Driftsinntekter ,3 882 404 000
4719,1,Driftsinntekter ,750 000
4720,1,Driftsinntekter ,67 925 000
4723,1,Driftsinntekter ,4 868 000
4725,1,Driftsinntekter ,55 134 000
4731,1,Driftsinntekter ,62 998 000
4732,1,Driftsinntekter ,51 904 000
4733,1,Driftsinntekter ,175 133 000
4734,1,Driftsinntekter ,5 747 000
4740,1,Driftsinntekter ,130 384 000
4760,1,Driftsinntekter ,1 035 000
4790,1,Driftsinntekter ,1 031 000
4791,1,Driftsinntekter ,794 292 000
4792,1,Driftsinntekter ,10 368 000
4795,1,Driftsinntekter ,9 256 000
4810,1,Gebyrinntekter ,25 000 000
4820,1,Gebyrinntekter ,68 000 000
5312,1,Gebyrer m.m. ,13 000 000
5490,1,Salg av utstyr mv. ,165 000
5705,1,"Refusjon av dagpenger, statsgaranti ved konkurs ",65 000 000
3051,2,Refusjon utland ,650 000
3100,2,Gebyrer for utlendingssaker ved utenriksstasjonene ,110 021 000
3220,2,Salgsinntekter mv. ,1 128 000
3222,2,Salgsinntekter mv. ,4 898 000
3229,2,Salgsinntekter mv. ,1 637 000
3230,2,Salgsinntekter mv. ,14 641 000
3256,2,Salgsinntekter mv. ,329 000
3280,2,Salgsinntekter mv. ,1 253 000
3281,2,Salgsinntekter mv. ,10 000
3324,2,Billett- og salgsinntekter m.m. ,22 100 000
3329,2,Inntekter ved oppdrag ,21 000 000
3334,2,Inntekter ved oppdrag ,8 572 000
3339,2,Gebyr-lotterier ,6 918 000
3400,2,Refusjon av ODA-godkjente utgifter ,1 136 000
3413,2,Sideutgifter ,13 416 000
3430,2,Arbeidsdriftens inntekter ,85 655 000
3440,2,Refusjoner mv. ,342 618 000
3442,2,Diverse inntekter ,14 894 000
3444,2,Refusjoner ,15 000 000
3456,2,Variable refusjoner ,59 790 000
3474,2,Refusjoner ,2 490 000
3490,2,Gebyr for nødvisum ,124 000
3642,2,Oppdrags- og samarbeidsvirksomhet ,880 000
3710,2,Diverse inntekter ,198 751 000
3713,2,Diverse inntekter ,214 000
3715,2,Diverse inntekter ,28 280 000
3716,2,Diverse inntekter ,1 847 000
3720,2,Diverse inntekter ,2 736 000
3722,2,Diverse inntekter ,1 326 000
3725,2,Diverse inntekter ,141 000
3750,2,Diverse inntekter ,2 246 000
3821,2,"Særskilt tilskudd ved bosetting av enslige, mindreårige flyktninger, ODA-godkjente utgifter ",31 511 000
3855,2,Barnetrygd ,3 833 000
3900,2,Ymse inntekter ,306 000
3904,2,"Refusjoner, oppdragsinntekter og andre inntekter ",31 000 000
3905,2,Tilskudd til samfinansieringsprosjekter ,47 000 000
3906,2,Behandlingsgebyrer ,700 000
3910,2,Maritime personellsertifikater ,12 400 000
4062,2,Andre inntekter ,10 747 000
4115,2,Driftsinntekter og refusjoner mv. ,5 369 000
4320,2,Diverse gebyrer ,317 500 000
4350,2,Salg av utstyr og tjenester mv. ,255 800 000
4400,2,Diverse inntekter ,383 000
4420,2,Statlig ordning for frivillig kjøp av klimakvoter ,567 000
4429,2,Refusjoner og diverse inntekter ,4 020 000
4465,2,"Gebyrinntekter tinglysing, fast eiendom ",320 000 000
4520,2,Ymse inntekter ,20 500 000
4535,2,Diverse inntekter ,1 800 000
4536,2,Diverse inntekter ,1 900 000
4584,2,Ymse inntekter ,2 841 000
4590,2,Ymse inntekter ,42 610 000
4592,2,Ymse inntekter ,17 467 000
4600,2,Diverse refusjoner ,1 000 000
4610,2,Andre inntekter ,2 500 000
4618,2,Andre inntekter ,25 800 000
4620,2,Oppdragsinntekter ,208 300 000
4634,2,Refusjoner ,41 400 000
4810,2,Oppdrags- og samarbeidsinntekter ,71 400 000
4820,2,Oppdrags- og samarbeidsinntekter ,70 000 000
5701,2,Diverse inntekter ,570 000 000
5704,2,Dividende ,170 000 000
3041,3,Leieinntekter ,1 000 000
3410,3,Diverse refusjoner ,1 654 000
3430,3,Andre inntekter ,15 690 000
3432,3,Andre inntekter ,947 000
3440,3,Salgsinntekter ,90 232 000
3442,3,Inntekter fra Justissektorens kurs- og øvingssenter ,16 560 000
3451,3,Diverse inntekter ,23 940 000
3456,3,Faste refusjoner ,8 784 000
3490,3,"Reiseutgifter for flyktninger til og fra utlandet, ODA-godkjente utgifter ",20 945 000
3642,3,Gebyr tilsyn ,48 490 000
3710,3,Vaksinesalg ,99 300 000
3720,3,Helsetjenester i annet EØS-land ,24 840 000
3902,3,Inntekter fra salg av tjenester ,11 200 000
3904,3,Refusjoner og inntekter knyttet til forvaltning av Altinn-løsningen ,57 000 000
3910,3,Diverse inntekter ,3 500 000
4020,3,Oppdragsinntekter ,297 470 000
4320,3,Refusjoner fra forsikringsselskaper ,32 900 000
4400,3,Refusjon fra Utenriksdepartementet ,1 576 000
4471,3,Inntekter fra diverse tjenesteyting ,55 327 000
