frameNo,frameName,chapterNo,chapterName
1,Statsforvaltning,20,Statsministerens kontor
1,Statsforvaltning,21,Statsrådet
1,Statsforvaltning,24,Regjeringsadvokaten
1,Statsforvaltning,1500,"Fornyings-, administrasjons- og kirkedepartementet"
1,Statsforvaltning,1503,Midler til opplæring og utvikling av tillitsvalgte
1,Statsforvaltning,1510,Fylkesmannsembetene
1,Statsforvaltning,1520,Departementenes servicesenter
1,Statsforvaltning,1530,Tilskudd til de politiske partier
1,Statsforvaltning,1560,Direktoratet for forvaltning og IKT
1,Statsforvaltning,1570,Datatilsynet
1,Statsforvaltning,1571,Personvernnemnda
1,Statsforvaltning,1580,Byggeprosjekter utenfor husleieordningen
1,Statsforvaltning,1581,Eiendommer til kongelige formål
1,Statsforvaltning,1582,Utvikling av Fornebuområdet
1,Statsforvaltning,1584,Eiendommer utenfor husleieordningen
1,Statsforvaltning,1585,Erstatningslokaler for departementene
1,Statsforvaltning,2445,Statsbygg
1,Statsforvaltning,3021,Statsrådet
1,Statsforvaltning,3024,Regjeringsadvokaten
1,Statsforvaltning,4510,Fylkesmannsembetene
1,Statsforvaltning,4520,Departementenes servicesenter
1,Statsforvaltning,4560,Direktoratet for forvaltning og IKT
1,Statsforvaltning,4581,Eiendommer til kongelige formål
1,Statsforvaltning,4584,Eiendommer utenfor husleieordningen
1,Statsforvaltning,5445,Statsbygg
1,Statsforvaltning,5446,"Salg av eiendom, Fornebu"
2,Familie og forbruker,231,Barnehager
2,Familie og forbruker,800,"Barne-, likestillings- og inkluderingsdepartementet"
2,Familie og forbruker,840,Krisetiltak
2,Familie og forbruker,841,Samliv og konfliktløsning
2,Familie og forbruker,842,Familievern
2,Familie og forbruker,843,Likestillings- og diskrimineringsnemnda
2,Familie og forbruker,844,Kontantstøtte
2,Familie og forbruker,845,Barnetrygd
2,Familie og forbruker,846,"Forsknings- og utredningsvirksomhet, tilskudd mv."
2,Familie og forbruker,849,Likestillings- og diskrimineringsombudet
2,Familie og forbruker,850,Barneombudet
2,Familie og forbruker,852,Adopsjonsstøtte
2,Familie og forbruker,853,Fylkesnemndene for barnevern og sosiale saker
2,Familie og forbruker,854,Tiltak i barne- og ungdomsvernet
2,Familie og forbruker,855,Statlig forvaltning av barnevernet
2,Familie og forbruker,856,"Barnevernets omsorgssenter for enslige, mindreårige asylsøkere"
2,Familie og forbruker,857,Barne- og ungdomstiltak
2,Familie og forbruker,858,"Barne-, ungdoms- og familiedirektoratet"
2,Familie og forbruker,859,EUs ungdomsprogram
2,Familie og forbruker,860,Forbrukerrådet
2,Familie og forbruker,862,Positiv miljømerking
2,Familie og forbruker,865,Forbrukerpolitiske tiltak
2,Familie og forbruker,866,Statens institutt for forbruksforskning
2,Familie og forbruker,867,Sekretariatet for Markedsrådet og Forbrukertvistutvalget
2,Familie og forbruker,868,Forbrukerombudet
2,Familie og forbruker,2530,Foreldrepenger
2,Familie og forbruker,3842,Familievern
2,Familie og forbruker,3855,Statlig forvaltning av barnevernet
2,Familie og forbruker,3856,"Barnevernets omsorgssenter for enslige, mindreårige asylsøkere"
2,Familie og forbruker,3858,"Barne-, ungdoms- og familiedirektoratet"
2,Familie og forbruker,3859,EUs ungdomsprogram
3,Kultur,300,Kulturdepartementet
3,Kultur,314,Kultur og samfunn
3,Kultur,315,Frivillighetsformål
3,Kultur,320,Allmenne kulturformål
3,Kultur,321,Kunstnerformål
3,Kultur,322,"Billedkunst, kunsthåndverk og offentlig rom"
3,Kultur,323,Musikkformål
3,Kultur,324,Scenekunstformål
3,Kultur,326,"Språk-, litteratur- og bibliotekformål"
3,Kultur,328,Museums- og andre kulturvernformål
3,Kultur,329,Arkivformål
3,Kultur,334,Film- og medieformål
3,Kultur,335,Mediestøtte
3,Kultur,337,Kompensasjon for kopiering til privat bruk
3,Kultur,339,Lotteri- og stiftelsestilsynet
3,Kultur,3300,Kulturdepartementet
